Ref,Val,Package,PosX,PosY,Rot,Side
"BRK1","SPI breakout","PinHeader_1x08_P2.54mm_Vertical",38.000000,-35.200000,90.000000,top
"BRK2","ADC breakout","PinHeader_1x08_P2.54mm_Vertical",38.000000,-2.800000,-90.000000,top
"BRK3","I2C breakout","PinHeader_1x04_P2.54mm_Vertical",50.000000,-2.800000,-90.000000,top
"BTN1","PRG BTN (JST PH vert)","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",21.000000,-38.500000,0.000000,top
"BTN2","RST BTN (JST PH vert)","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",30.000000,-38.500000,0.000000,top
"C1","100nF/50V","C_0603_1608Metric",16.800000,-14.000000,90.000000,top
"Cbst","100nF/50V","C_0402_1005Metric",44.200000,-17.500000,90.000000,top
"Cff","470pF","C_0603_1608Metric",42.300000,-25.200000,90.000000,top
"Cin1","2.2uF/100V","C_1210_3225Metric",48.000000,-21.000000,90.000000,top
"Cin2","2.2uF/100V","C_1210_3225Metric",52.500000,-12.200000,90.000000,top
"Cin3","100nF/100V","C_0603_1608Metric",44.600000,-21.000000,90.000000,top
"Cout1","22uF/25V","C_1206_3216Metric",19.200000,-20.500000,90.000000,top
"Cout2","22uF/25V","C_1206_3216Metric",15.400000,-20.500000,90.000000,top
"Cout3","100nF/50V","C_0402_1005Metric",12.200000,-20.500000,90.000000,top
"D1","SS210 100V","D_SMA",31.500000,-15.300000,0.000000,top
"D2","SMBJ45A","D_SMB",47.000000,-13.000000,0.000000,top
"HDRA","HELTEC J3 (GPIO side)","PinSocket_1x18_P2.54mm_Vertical",52.200000,-8.000000,-90.000000,top
"HDRB","HELTEC J2 (power side)","PinSocket_1x18_P2.54mm_Vertical",52.200000,-30.860000,-90.000000,top
"J1","VBAT IN (JST PH)","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",57.100000,-19.500000,90.000000,top
"L1","33uH 6A","L_CYA0850",26.500000,-22.000000,180.000000,top
"R1","200k 1%","R_0805_2012Metric",12.000000,-14.000000,90.000000,top
"R2","22k 1%","R_0805_2012Metric",14.500000,-14.000000,90.000000,top
"REN1","100k","R_0402_1005Metric",34.500000,-24.600000,90.000000,top
"REN2","DNP","R_0402_1005Metric",32.600000,-24.600000,90.000000,top
"RFB1","240k 1%","R_0402_1005Metric",44.300000,-24.800000,90.000000,top
"RFB2","10k 1%","R_0402_1005Metric",46.100000,-24.800000,90.000000,top
"SW1","PWR SWITCH (JST PH vert)","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",11.000000,-38.500000,0.000000,top
"U1","MP9486A","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",39.500000,-20.000000,180.000000,top
