Comment,Designator,Footprint,LCSC Part #
MP9486AGN-Z 100V buck,U1,SOIC-8-EP,C404013
33uH 6A inductor CYA0850,L1,brickdup:L_CYA0850,C19268648
Schottky 100V 2A SS210,D1,SMA (DO-214AC),C14996
TVS SMBJ45A,D2,SMB (DO-214AA),C42371744
2.2uF 100V X7R,Cin1,C_1210,C55151
2.2uF 100V X7R,Cin2,C_1210,C55151
100nF 50V X7R,Cin3,C_0603,C14663
100nF 16V X7R,Cbst,C_0402,C1525
22uF 25V X5R,Cout1,C_1206,C12891
22uF 25V X5R,Cout2,C_1206,C12891
470pF 50V X7R (ripple injection),Cff,C_0603,C22396
240k 1% 0402,RFB1,R_0402,C64043
10k 1% 0402,RFB2,R_0402,C25744
100k 1% 0402,REN1,R_0402,C25741
200k 1% 0805,R1,R_0805,C17539
22k 1% 0805,R2,R_0805,C17560
100nF 50V X7R,C1,C_0603,C14663
JST PH 2-pin SMD side (VBAT in),J1,JST_PH_S2B-PH-SM4-TB,C295747
JST PH 2-pin SMD side (power switch),SW1,JST_PH_S2B-PH-SM4-TB,C295747
JST PH 2-pin SMD side (PRG button),BTN1,JST_PH_S2B-PH-SM4-TB,C295747
JST PH 2-pin SMD side (RST button),BTN2,JST_PH_S2B-PH-SM4-TB,C295747
"Female header 1x18 2.54mm THT, 8.5mm height (NOT low-profile) - PICK IN JLC BOM MATCHER",HDRA,PinSocket_1x18_P2.54mm_Vertical,
"Female header 1x18 2.54mm THT, 8.5mm height (NOT low-profile) - PICK IN JLC BOM MATCHER",HDRB,PinSocket_1x18_P2.54mm_Vertical,
