Designator,Mid X,Mid Y,Layer,Rotation
BTN1,21.0000,-39.0000,Top,0.00
BTN2,31.0000,-39.0000,Top,0.00
C1,16.8000,-14.0000,Top,90.00
Cbst,44.2000,-17.5000,Top,90.00
Cff,42.3000,-25.2000,Top,90.00
Cin1,48.0000,-21.0000,Top,90.00
Cin2,52.5000,-12.2000,Top,90.00
Cin3,44.6000,-21.0000,Top,90.00
Cout1,19.2000,-20.5000,Top,90.00
Cout2,15.4000,-20.5000,Top,90.00
D1,31.5000,-15.3000,Top,0.00
D2,47.0000,-13.0000,Top,0.00
HDRA,52.2000,-8.0000,Top,-90.00
HDRB,52.2000,-30.8600,Top,-90.00
J1,57.1000,-19.5000,Top,90.00
L1,26.5000,-22.0000,Top,180.00
R1,12.0000,-14.0000,Top,90.00
R2,14.5000,-14.0000,Top,90.00
REN1,34.5000,-24.6000,Top,90.00
RFB1,44.3000,-24.8000,Top,90.00
RFB2,46.1000,-24.8000,Top,90.00
SW1,11.0000,-39.0000,Top,0.00
U1,39.5000,-20.0000,Top,180.00
