Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF/50V","C_0603_1608Metric",17.655000,-12.275000,90.000000,top
"Cbst","100nF/50V","C_0402_1005Metric",29.140000,-5.169100,90.000000,top
"Cff","22pF","C_0402_1005Metric",29.140000,-7.439100,90.000000,top
"Cin1","2.2uF/100V","C_1210_3225Metric",16.780000,-8.250000,90.000000,top
"Cin2","2.2uF/100V","C_1210_3225Metric",11.161800,-15.009200,90.000000,top
"Cin3","100nF/100V","C_0603_1608Metric",8.586800,-11.775000,90.000000,top
"Cout1","22uF/25V","C_1206_3216Metric",5.311800,-12.289800,0.000000,top
"Cout2","22uF/25V","C_1206_3216Metric",27.400000,-2.759100,0.000000,top
"Cout3","100nF/50V","C_0402_1005Metric",27.905200,-14.060000,0.000000,top
"D1","SS210 100V","D_SMA",18.832000,-1.500000,0.000000,top
"D2","SMBJ45A","D_SMB",19.671000,-4.300000,0.000000,top
"J1","VBAT/GND (JST PH)","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",34.800000,-5.340300,-90.000000,top
"J2","5V/SENSE/GND (JST PH)","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",9.580000,-5.200000,0.000000,top
"L1","33uH 6A","L_CYA0850",23.480000,-9.600000,0.000000,top
"R1","200k 1%","R_0805_2012Metric",21.611800,-17.464200,90.000000,top
"R2","22k 1%","R_0805_2012Metric",23.761800,-15.665000,90.000000,top
"REN1","100k","R_0402_1005Metric",3.410000,-1.721600,90.000000,top
"REN2","DNP","R_0402_1005Metric",31.553600,-16.910400,90.000000,top
"RFB1","240k 1%","R_0402_1005Metric",26.071100,-14.530000,90.000000,top
"RFB2","10k 1%","R_0402_1005Metric",24.078400,-18.620000,90.000000,top
"U1","MP9486A","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",16.711800,-16.478200,180.000000,top
