Designator,Mid X,Mid Y,Layer,Rotation
C1,17.6550,-12.2750,top,90.00
Cbst,29.1400,-5.1691,top,90.00
Cin1,16.7800,-8.2500,top,90.00
Cin2,11.1618,-15.0092,top,90.00
Cin3,8.5868,-11.7750,top,90.00
Cout1,5.3118,-12.2898,top,0.00
Cout2,27.4000,-2.7591,top,0.00
D1,18.8320,-1.5000,top,0.00
D2,19.6710,-4.3000,top,0.00
J1,34.8000,-5.3403,top,-90.00
J2,9.5800,-5.2000,top,0.00
L1,23.4800,-9.6000,top,0.00
R1,21.6118,-17.4642,top,90.00
R2,23.7618,-15.6650,top,90.00
REN1,3.4100,-1.7216,top,90.00
RFB1,26.0711,-14.5300,top,90.00
RFB2,24.0784,-18.6200,top,90.00
U1,16.7118,-16.4782,top,180.00
